Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
77.581,21.048,13.846,17.529,12.098,21.570,19.143,19.171,23.772,15.688,25.068,30.025,17.818,12.319,6.727,6.790,6.038,5.115,10.481,14.667,8.229,6.118,7.926
77.151,22.105,14.846,17.314,12.000,21.788,18.293,21.086,21.924,16.719,28.750,29.688,15.773,11.375,8.068,7.476,5.404,4.865,9.000,16.000,8.521,6.412,8.949
78.384,24.790,12.317,18.157,13.312,24.179,18.979,19.929,23.418,16.490,28.295,29.763,13.295,11.667,7.045,8.290,6.462,5.939,9.875,15.131,9.875,6.500,8.176
76.512,23.702,14.654,19.557,12.009,20.046,19.521,17.614,22.354,16.604,31.909,32.725,14.114,10.139,8.000,8.911,5.904,4.730,9.365,11.488,8.469,5.294,9.110
73.686,24.202,15.712,18.943,12.616,22.755,23.186,15.414,18.519,13.167,27.523,27.350,13.614,10.667,8.227,8.331,6.317,5.791,10.298,12.774,8.927,6.167,8.551
72.384,22.258,13.837,19.171,11.536,20.159,22.321,17.186,17.152,13.510,29.841,29.188,16.068,9.278,6.977,9.137,5.192,5.149,9.500,11.560,8.844,5.961,8.029
70.081,19.823,13.865,18.800,13.286,20.894,20.979,18.771,17.519,13.073,29.500,30.688,15.500,8.472,6.705,10.435,5.471,4.764,8.471,11.036,8.427,5.755,7.493
71.186,22.040,13.721,18.229,12.482,20.503,22.757,15.943,18.456,14.146,27.455,29.375,15.068,11.278,8.477,9.661,6.971,5.777,11.317,12.131,9.615,6.382,8.596
68.977,19.395,14.990,17.500,12.062,19.358,21.786,16.329,15.823,11.729,28.364,32.713,14.795,10.806,9.023,8.871,6.471,7.074,10.606,9.060,6.833,7.176,9.132
67.419,20.774,16.500,17.357,12.482,18.861,22.121,18.229,14.734,13.927,27.818,27.150,14.023,10.597,8.000,10.742,7.154,6.622,10.769,11.869,9.500,5.951,7.206
62.116,21.331,14.135,18.129,11.357,18.404,23.071,17.057,14.671,12.167,25.341,28.087,14.045,10.889,9.568,8.573,7.327,5.797,10.010,10.036,8.896,6.078,8.551
63.884,18.806,14.096,17.400,12.027,17.854,23.543,17.229,15.608,12.698,32.955,29.487,13.386,10.528,7.045,9.444,5.519,5.980,9.702,11.310,9.240,5.794,7.110
63.872,17.645,15.433,18.657,12.116,19.457,22.764,16.200,17.013,12.896,29.205,29.612,13.909,10.597,6.955,9.645,6.606,6.095,11.144,9.571,7.885,6.392,7.699
59.826,16.113,14.962,18.529,13.152,19.338,21.614,16.714,14.481,11.833,29.977,34.062,12.182,11.431,7.000,9.935,7.462,5.784,9.327,11.071,9.083,5.794,8.699
56.988,16.540,13.558,18.571,12.018,19.656,23.164,18.557,14.253,11.896,25.409,31.962,13.114,11.806,8.068,8.347,6.096,6.797,9.500,11.381,9.938,6.461,8.360
60.384,17.161,14.452,17.357,12.625,22.834,22.143,15.614,16.342,13.979,29.159,31.025,15.045,10.056,8.091,7.855,6.067,6.486,9.490,10.821,9.323,6.431,7.897
57.314,18.919,15.625,19.971,12.920,21.013,22.179,17.314,16.278,14.396,36.386,31.513,16.273,11.569,7.273,8.669,6.144,6.642,8.827,9.988,7.302,7.216,9.294
58.686,16.927,13.962,17.871,12.080,20.848,23.329,19.114,17.443,17.062,31.568,30.538,14.159,11.667,7.614,8.895,5.327,6.973,11.260,9.940,8.958,5.824,9.125
54.384,16.637,15.135,20.357,11.580,21.132,21.107,17.257,19.557,14.396,27.636,26.288,14.955,11.236,9.295,9.589,5.587,6.541,10.779,9.405,8.781,7.137,7.824
51.058,14.895,15.231,19.143,12.143,21.669,22.221,18.029,18.949,15.073,27.136,28.125,16.205,12.000,5.614,7.911,5.231,5.892,10.346,8.190,8.167,5.353,8.118
58.779,15.774,13.731,18.300,11.018,21.517,22.621,19.229,23.392,17.781,32.909,29.475,15.409,12.472,7.227,7.024,5.644,6.101,10.500,7.976,7.667,5.804,8.941
58.837,17.629,13.558,19.586,10.884,20.589,20.636,17.629,22.468,17.156,30.500,28.587,15.500,10.597,6.909,6.879,5.317,7.209,8.298,6.917,8.375,4.755,8.875
57.953,17.790,15.173,18.914,12.000,21.689,18.879,17.543,25.139,15.635,29.659,30.163,14.500,11.014,6.591,6.548,4.654,5.000,10.346,8.905,7.865,4.775,7.493
57.721,16.726,13.308,18.371,10.714,21.649,21.729,19.714,23.823,19.698,30.682,26.263,15.591,10.861,8.523,7.137,4.692,6.047,8.952,6.488,7.552,6.353,7.596
50.081,15.750,13.538,18.771,11.688,22.212,22.671,20.343,29.696,19.990,29.000,27.587,14.705,9.458,7.705,7.984,4.798,7.115,8.423,8.762,8.948,6.520,9.301
51.628,16.903,14.817,17.814,10.589,22.993,22.529,16.200,30.468,19.479,26.818,30.425,15.864,10.125,8.000,6.637,4.154,6.250,9.673,7.583,7.458,6.343,8.051
53.640,15.629,15.279,16.571,9.357,23.483,22.921,20.157,34.646,19.219,28.114,26.138,15.727,10.514,9.318,7.371,5.769,7.176,9.558,7.583,8.229,6.010,6.971
51.012,14.508,14.865,16.600,11.661,21.808,22.864,19.257,30.165,17.323,25.864,26.200,15.341,11.667,7.500,8.403,5.183,8.014,8.683,10.393,8.479,5.716,8.272
46.930,13.129,14.240,16.643,9.920,20.954,23.929,18.400,29.063,19.375,29.614,28.150,12.250,10.556,8.932,9.242,6.317,6.419,8.971,7.298,7.625,6.402,7.110
46.605,14.363,13.990,15.529,9.607,24.623,19.893,20.943,26.025,18.812,23.659,31.638,15.500,9.806,8.068,7.758,5.769,8.669,8.750,7.071,6.802,6.402,8.404
48.500,12.073,14.615,15.829,9.089,23.192,23.929,17.400,24.570,15.958,27.705,29.438,15.795,10.764,7.364,8.669,5.885,7.324,8.212,8.119,7.417,4.598,7.375
47.116,12.944,16.317,16.443,11.250,24.483,23.571,21.543,27.468,17.229,30.250,29.312,12.977,10.347,7.136,8.484,6.712,9.311,8.731,11.726,7.708,6.598,7.426
48.070,12.661,14.394,17.029,12.929,25.589,22.036,19.700,28.873,16.448,28.477,26.438,15.955,10.403,9.341,7.903,5.654,8.351,10.529,11.417,9.208,5.637,9.904
50.047,12.694,12.750,17.029,11.214,22.987,24.657,19.429,22.063,14.344,26.523,28.500,16.955,10.944,5.045,7.903,5.683,8.027,8.856,9.869,8.417,5.275,7.588
49.070,14.056,14.192,15.829,9.830,22.397,22.093,16.300,26.481,15.927,27.500,27.862,12.432,10.458,8.409,6.581,5.577,8.581,10.731,9.190,9.812,5.853,7.904
50.395,12.444,13.010,15.514,10.321,23.795,23.207,16.486,24.595,15.948,25.045,27.188,14.136,11.472,5.477,6.427,6.317,8.932,9.212,8.548,7.833,5.059,7.816
51.581,14.758,15.587,15.186,10.125,26.649,22.471,18.571,22.886,16.281,29.432,29.150,13.841,8.556,8.568,7.161,5.529,8.392,8.010,11.679,8.167,5.745,7.228
